"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2021-12-21","21 Dec 2021","-0.56568"
"2021-12-22","22 Dec 2021","-0.56571"
"2021-12-23","23 Dec 2021","-0.56576"
"2021-12-24","24 Dec 2021","-0.56580"
"2021-12-27","27 Dec 2021","-0.56589"
"2021-12-28","28 Dec 2021","-0.56607"
"2021-12-29","29 Dec 2021","-0.56613"
"2021-12-30","30 Dec 2021","-0.56618"
"2021-12-31","31 Dec 2021","-0.56625"
"2022-01-03","03 Jan 2022","-0.56627"
"2022-01-04","04 Jan 2022","-0.56629"
"2022-01-05","05 Jan 2022","-0.56633"
"2022-01-06","06 Jan 2022","-0.56637"
"2022-01-07","07 Jan 2022","-0.56640"
"2022-01-10","10 Jan 2022","-0.56650"
"2022-01-11","11 Jan 2022","-0.56659"
"2022-01-12","12 Jan 2022","-0.56663"
"2022-01-13","13 Jan 2022","-0.56667"
"2022-01-14","14 Jan 2022","-0.56671"
"2022-01-17","17 Jan 2022","-0.56679"
"2022-01-18","18 Jan 2022","-0.56685"
"2022-01-19","19 Jan 2022","-0.56689"
"2022-01-20","20 Jan 2022","-0.56692"
"2022-01-21","21 Jan 2022","-0.56696"
"2022-01-24","24 Jan 2022","-0.56706"
"2022-01-25","25 Jan 2022","-0.56716"
"2022-01-26","26 Jan 2022","-0.56720"
"2022-01-27","27 Jan 2022","-0.56725"
"2022-01-28","28 Jan 2022","-0.56727"
"2022-01-31","31 Jan 2022","-0.56732"
"2022-02-01","01 Feb 2022","-0.56739"
"2022-02-02","02 Feb 2022","-0.56743"
"2022-02-03","03 Feb 2022","-0.56747"
"2022-02-04","04 Feb 2022","-0.56752"
"2022-02-07","07 Feb 2022","-0.56759"
"2022-02-08","08 Feb 2022","-0.56766"
"2022-02-09","09 Feb 2022","-0.56769"
"2022-02-10","10 Feb 2022","-0.56773"
"2022-02-11","11 Feb 2022","-0.56775"
"2022-02-14","14 Feb 2022","-0.56782"
"2022-02-15","15 Feb 2022","-0.56790"
"2022-02-16","16 Feb 2022","-0.56794"
"2022-02-17","17 Feb 2022","-0.56797"
"2022-02-18","18 Feb 2022","-0.56801"
"2022-02-21","21 Feb 2022","-0.56807"
"2022-02-22","22 Feb 2022","-0.56815"
"2022-02-23","23 Feb 2022","-0.56818"
"2022-02-24","24 Feb 2022","-0.56821"
"2022-02-25","25 Feb 2022","-0.56824"
"2022-02-28","28 Feb 2022","-0.56829"
"2022-03-01","01 Mar 2022","-0.56836"
"2022-03-02","02 Mar 2022","-0.56840"
"2022-03-03","03 Mar 2022","-0.56843"
"2022-03-04","04 Mar 2022","-0.56847"
"2022-03-07","07 Mar 2022","-0.56853"
"2022-03-08","08 Mar 2022","-0.56863"
"2022-03-09","09 Mar 2022","-0.56869"
"2022-03-10","10 Mar 2022","-0.56874"
"2022-03-11","11 Mar 2022","-0.56878"
"2022-03-14","14 Mar 2022","-0.56885"
"2022-03-15","15 Mar 2022","-0.56895"
"2022-03-16","16 Mar 2022","-0.56897"
"2022-03-17","17 Mar 2022","-0.56901"
"2022-03-18","18 Mar 2022","-0.56906"
"2022-03-21","21 Mar 2022","-0.56912"
"2022-03-22","22 Mar 2022","-0.56920"
"2022-03-23","23 Mar 2022","-0.56923"
"2022-03-24","24 Mar 2022","-0.56927"
"2022-03-25","25 Mar 2022","-0.56931"
"2022-03-28","28 Mar 2022","-0.56940"
"2022-03-29","29 Mar 2022","-0.56946"
"2022-03-30","30 Mar 2022","-0.56949"
"2022-03-31","31 Mar 2022","-0.56951"
"2022-04-01","01 Apr 2022","-0.56956"
"2022-04-04","04 Apr 2022","-0.56964"
"2022-04-05","05 Apr 2022","-0.56967"
"2022-04-06","06 Apr 2022","-0.56980"
"2022-04-07","07 Apr 2022","-0.56985"
"2022-04-08","08 Apr 2022","-0.56989"
